DFN,Telekom
1040,938
902,957
933,917
944,921
912,931
954,943
902,927
849,916
1030,945
944,928
933,935
923,922
933,931
923,934
933,929
912,949
933,908
912,930
954,922
923,940
965,919
902,947
944,926
912,933
923,951
912,920
944,923
902,963
965,916
923,935
933,960
912,911
923,943
923,901
933,948
944,936
912,916
944,954
933,932
923,931
912,914
965,947
891,908
954,947
923,917
933,969
923,927
944,924
881,930
965,823
891,1030
975,923
891,895
944,923
944,935
923,936
923,922
923,918
923,939
942,942
925,929
