DFN,Telekom
6.1,7.55
7.59,8.31
6.93,8.35
6.71,8.4
6.99,8.26
6.82,8.44
7.05,8.29
7.16,8.42
7.13,8.49
7.07,8.56
7.4,8.49
7.6,8.44
7.49,8.59
7.61,8.47
7.57,8.32
7.63,8.13
7.28,8.05
6.84,8.11
6.89,8.16
6.92,8.14
7.03,8.24
6.74,7.86
6.78,8.23
6.91,8.28
7.39,8.2
7.73,8.21
7.42,8.18
6.64,8.18
6.97,8.28
7.4,8.25
7.33,8.4
7.63,8.36
7.79,8.43
7.71,8.36
7.36,8.23
7.47,8.31
7.83,8.43
7.8,8.43
7.97,8.39
8.07,8.4
7.95,8.1
8.16,8.19
7.76,8.17
7.5,8.21
7.73,8.19
8.06,8.09
8.26,8.16
8.42,8.24
8,8.27
7.63,8.12
7.67,8.03
7.81,8.46
7.72,8.23
7.37,8.43
7.43,8.35
7.53,8.39
7.58,8.46
7.55,8.55
7.03,8.42
7.04,8.33
7.42,8.28
7.41,8.28
