DFN,Telekom
9.73,2.39
9.86,2.01
8.18,1.22
7.6,1.37
8.58,1.81
9.76,2.29
8.85,1.28
6.09,1.26
6.75,1.51
8.81,2.02
9.84,2.04
7.65,1.97
6.59,1.95
7.5,1.45
9.42,1.54
9.87,2.06
8.57,2.55
9.08,1.56
9.77,1.71
8.82,2.03
6.16,2.57
6.7,1.77
8.58,1.79
9.83,1.54
8.51,1.23
7.11,1.42
7.66,1.79
9.35,2.07
9.84,1.65
8.16,1.88
7.71,2.35
8.43,1.92
9.72,1.37
9.33,1.46
7.69,1.82
8.06,1.95
9.24,1.72
9.84,1.93
8.61,2.37
8.16,2.16
8.76,2.17
9.72,2.01
9.77,1.56
9.51,1.69
9.76,1.82
9.66,2.12
7.7,2.43
8.23,2.08
9.53,2.04
9.78,2.5
7.69,1.48
8.01,1.43
9.42,1.65
9.85,2.09
7.93,1.53
7.34,1.44
8.26,1.65
9.64,1.76
9.68,1.49
8.19,1.73
8.64,1.82
8.56,1.8
