DFN,Telekom
452,788
617,901
714,913
849,885
798,902
839,895
755,897
838,903
788,903
800,922
841,889
727,865
789,899
789,903
799,913
809,891
679,898
826,914
810,852
803,902
713,872
830,881
742,895
858,926
812,919
832,834
815,890
766,922
773,903
795,883
741,892
831,897
697,913
859,894
864,895
832,886
888,891
741,900
877,915
758,852
867,911
738,923
863,903
853,910
860,885
735,893
791,892
776,877
818,895
766,881
717,884
847,854
714,878
857,892
780,915
825,914
897,904
834,881
799,907
818,903
828,898
792,893
